number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_units,params_linear2_out,params_optimizer,state
0,0.6528571428571428,2025-10-30 17:50:13.709319,2025-10-30 17:52:52.777523,0 days 00:02:39.068204,0.5,74,64,32,SGD,COMPLETE
1,0.6428571428571429,2025-10-30 17:52:52.778360,2025-10-30 17:55:38.377272,0 days 00:02:45.598912,0.3,74,64,64,Adam,COMPLETE
2,0.7728571428571429,2025-10-30 17:55:38.380773,2025-10-30 17:58:04.468318,0 days 00:02:26.087545,0.4,70,64,32,SGD,COMPLETE
3,0.7971428571428572,2025-10-30 17:58:04.469457,2025-10-30 18:00:37.299556,0 days 00:02:32.830099,0.3,74,64,64,SGD,COMPLETE
4,0.49142857142857144,2025-10-30 18:00:37.300584,2025-10-30 18:03:06.083049,0 days 00:02:28.782465,0.5,73,32,64,Adam,COMPLETE
5,0.8414285714285714,2025-10-30 18:03:06.083901,2025-10-30 18:05:50.071915,0 days 00:02:43.988014,0.3,79,64,64,SGD,COMPLETE
6,0.8685714285714285,2025-10-30 18:05:50.072727,2025-10-30 18:08:25.985792,0 days 00:02:35.913065,0.3,77,32,32,Adam,COMPLETE
7,0.6542857142857142,2025-10-30 18:08:25.986622,2025-10-30 18:10:53.749357,0 days 00:02:27.762735,0.4,73,32,32,SGD,COMPLETE
8,0.6285714285714286,2025-10-30 18:10:53.750163,2025-10-30 18:13:30.925768,0 days 00:02:37.175605,0.5,77,32,64,SGD,COMPLETE
9,0.7714285714285715,2025-10-30 18:13:30.926571,2025-10-30 18:16:16.927114,0 days 00:02:46.000543,0.4,80,64,64,SGD,COMPLETE
